,Unnamed: 0,2018rank,City,State[c],2018estimate,2010Census,Total Area (sqmi),Location,Website,Zipcode,Description
10,10,11,Austin, Texas,964254,790390,312.7 sq mi,30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ ,http://www.austintexas.gov,"78701–78705, 78708–78739, 78741–78742, 78744–78769","Austin is the capital of the U S  state of Texas and the seat of Travis County  with portions extending into Hays and Williamson counties  It is the 11th most populous city in the United States and the 4th most populous city in Texas  It is also the fastest growing large city in the United States [5][6] the second most populous state capital after Phoenix  Arizona [7] and the southernmost state capital in the contiguous United States  As of the U S  Census Bureau's July 1  2017 estimate  Austin had a population of 950 715[8] up from 790 491 at the 2010 census [3] The city is the cultural and economic center of the Austin–Round Rock metropolitan statistical area  which had an estimated population of 2 168 316 as of July 1  2018[update]  Located in Central Texas within the greater Texas Hill Country  it is home to numerous lakes  rivers  and waterways  including Lady Bird Lake and Lake Travis on the Colorado River  Barton Springs  McKinney Falls  and Lake Walter E  Long In the 1830s  pioneers began to settle the area in central Austin along the Colorado River  In 1839  the site was chosen to replace Houston as the capital of the Republic of Texas and was incorporated under the name ""Waterloo""  Shortly afterward  the name was changed to Austin in honor of Stephen F  Austin  the ""Father of Texas"" and the republic's first secretary of state  The city grew throughout the 19th century and became a center for government and education with the construction of the Texas State Capitol and the University of Texas at Austin [9] After a severe lull in economic growth from the Great Depression  Austin resumed its steady development  and by the 1990s it emerged as a center for technology and business [10] A number of Fortune 500 companies have headquarters or regional offices in Austin including  3M  Amazon com  Apple Inc   Cisco  eBay  General Motors  Google  IBM  Intel  Oracle Corporation  PayPal  Texas Instruments  and Whole Foods Market [11] Dell's worldwide headquarters is located in a nearby suburb  Round Rock "
11,11,12,Jacksonville[f], Florida,903889,821784,747.4 sq mi,30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ ,http://www.coj.net,"32099, 32201–32212, 32214–32241, 32244–32247, 32250, 32254–32260, 32266, 32267, 32277, 32290",Jacksonville is the most populous city in Florida  the most populous city in the southeastern United States and the largest city by area in the contiguous United States [10][11] It is the seat of Duval County [12] with which the city government consolidated in 1968  Consolidation gave Jacksonville its great size and placed most of its metropolitan population within the city limits  As of 2017  Jacksonville's population was estimated to be 892 062 [13] The Jacksonville metropolitan area has a population of 1 523 615 and is the fourth largest in Florida [14]Jacksonville is centered on the banks of the St  Johns River in the First Coast region of northeast Florida  about 25 miles  40 km  south of the Georgia state line and 328 miles  528 km  north of Miami [15] The Jacksonville Beaches communities are along the adjacent Atlantic coast  The area was originally inhabited by the Timucua people  and in 1564 was the site of the French colony of Fort Caroline  one of the earliest European settlements in what is now the continental United States  Under British rule  a settlement grew at the narrow point in the river where cattle crossed  known as Wacca Pilatka to the Seminole and the Cow Ford to the British  A platted town was established there in 1822  a year after the United States gained Florida from Spain  it was named after Andrew Jackson  the first military governor of the Florida Territory and seventh President of the United States 
12,12,13,Fort Worth, Texas,895008,741206,342.9 sq mi,32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ ,http://www.fortworthtexas.gov/,"76040, 76120, 76008, 76028, 76036, 76101-76124, 76126-76127, 76130-76137, 76140, 76147-76148, 76150, 76155, 76161-76164, 76166, 76177, 76179, 76180-76182, 76185, 76191-76193, 76195-76199, 76244, 76247, 76262, 76129 (exclusive to TCU), 76107",Fort Worth is a city in the U S  state of Texas  It is the 13th largest city in the United States and fifth largest city in Texas [7] It is the county seat of Tarrant County  covering nearly 350 square miles  910 km2  into three other counties: Denton  Parker  and Wise  According to the 2017 census estimates  Fort Worth's population is 874 168 [5] Fort Worth is the second largest city in the Dallas–Fort Worth–Arlington metropolitan area  which is the 4th most populous metropolitan area in the United States [8]The city of Fort Worth was established in 1849 as an army outpost on a bluff overlooking the Trinity River  Fort Worth has historically been a center of the longhorn cattle trade  It still embraces its Western heritage and traditional architecture and design [9][10] USS Fort Worth  LCS 3  is the first ship of the United States Navy named after the city [11]
13,13,14,Columbus, Ohio,892533,787033,218.5 sq mi,39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ ,http://www.columbus.gov/,"
Zip codes[15]
43035, 43085, 43201-43207, 43209-43224, 43226-43232, 43234-43236, 43240, 43251, 43260, 43266, 43268, 43270-43272, 43279, 43287, 43291
",Columbus   kəˈlʌmbəs  kə LUM bəs  is the state capital of and the most populous city in the U S  State of Ohio  With a population of 892 533 as of 2018 estimates [17] it is the 14th most populous city in the United States[18][19][20][21]  and one of the fastest growing large cities in the nation [22] This makes Columbus the third most populous state capital in the US  after Phoenix  Arizona and Austin  Texas  and the second most populous city in the Midwest  after Chicago  Illinois  [23][24] It is the core city of the Columbus  OH Metropolitan Statistical Area  which encompasses ten counties [25] With a population of 2 078 725  it is Ohio's second largest metropolitan area Columbus is the county seat of Franklin County [26] The municipality has also annexed portions of adjoining Delaware  Pickaway and Fairfield counties  Named for explorer[27][28] Christopher Columbus  the city was founded in 1812  at the confluence of the Scioto and Olentangy rivers  and assumed the functions of state capital in 1816 
14,14,15,San Francisco[g], California,883305,805235,46.9 sq mi,37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W﻿ / 37.7272; -123.0322﻿ ,http://sf.gov/,0,San Francisco  SF   ˌsæn frənˈsɪskoʊ  fræn    Spanish: [sam fɾanˈsisko]  Spanish for 'Saint Francis'   officially the City and County of San Francisco  is a city in  and the cultural  commercial  and financial center of  Northern California  San Francisco is the 13th most populous city in the United States  and the fourth most populous in California  with 883 305 residents as of 2018 [14] It covers an area of about 46 89 square miles  121 4 km2  [19] mostly at the north end of the San Francisco Peninsula in the San Francisco Bay Area  making it the second most densely populated large US city  and the fifth most densely populated U S  county  behind only four of the five New York City boroughs  San Francisco is also part of the fifth most populous primary statistical area in the United States  the San Jose–San Francisco–Oakland  CA Combined Statistical Area  9 67 million residents  As of 2017  it was the seventh highest income county in the United States  with a per capita personal income of  119 868 [20] As of 2015  San Francisco proper had a GDP of  154 2 billion  and a GDP per capita of  178 479 [21][22] The San Francisco CSA was the country's third largest urban economy as of 2017  with a GDP of  907 billion [23]  Of the 500  primary statistical areas in the US  the San Francisco CSA had among the highest GDP per capita in 2017  at  93 938 [23] San Francisco was ranked 16th in the world and third in the United States on the Global Financial Centres Index as of March 2019 [24]
15,15,16,Charlotte, North Carolina,872498,731424,305.4 sq mi,35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W﻿ / 35.2078; -80.8310﻿ ,http://charlottenc.gov,0,"Charlotte   ˈʃɑːrlət   is the most populous city in the U S  state of North Carolina  Located in the Piedmont  it is the county seat of Mecklenburg County  In 2017  the U S  Census Bureau estimated the population was 859 035 [4] making it the 17th most populous city in the United States  The Charlotte metropolitan area's population ranks 23rd in the U S   and had a 2016 population of 2 474 314 [3]   The Charlotte metropolitan area is part of a sixteen county market region or combined statistical area with a 2016 census estimated population of 2 632 249 [5]Between 2004 and 2014  Charlotte was ranked as the country's fastest growing metro area  with 888 000 new residents [6] Based on U S  Census data from 2005 to 2015  it tops the 50 largest U S  cities as the millennial hub [7] It is the second largest city in the southeastern United States  just behind Jacksonville  Florida  It is the third fastest growing major city in the United States [8] It is listed as a ""gamma"" global city by the Globalization and World Cities Research Network [9] Residents are referred to as ""Charlotteans"" "
16,16,17,Indianapolis[h], Indiana,867125,820445,361.5 sq mi,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ / 39.7767; -86.1459﻿ ,http://www.indy.gov,"
61 total ZIP codes:
46201–46209, 46211, 46214, 46216–46231, 46234–46237, 46239–46242, 46244, 46247, 46249–46251, 46253–46256, 46259–46260, 46266, 46268, 46274–46275, 46277–46278, 46280, 46282–46283, 46285, 46290–46291, 46295–46296, 46298
","Indianapolis   ˌɪndiəˈnæpəlɪs   [10][11][12] often shortened to Indy  is the state capital and most populous city of the U S  state of Indiana and the seat of Marion County  According to 2017 estimates from the U S  Census Bureau  the consolidated population of Indianapolis and Marion County was 872 680 [13] The ""balance"" population  which excludes semi autonomous municipalities in Marion County  was 863 002 [14] It is the 16th most populous city in the U S  The Indianapolis metropolitan area is the 34th most populous metropolitan statistical area in the U S   with 2 028 614 residents [15] Its combined statistical area ranks 27th  with a population of 2 411 086 [15] Indianapolis covers 368 square miles  950 km2   making it the 16th largest city by land area in the U S Indigenous peoples inhabited the area dating to approximately 2000 BC  In 1818  the Delaware relinquished their tribal lands in the Treaty of St  Mary's [16] In 1821  Indianapolis was founded as a planned city for the new seat of Indiana's state government  The city was platted by Alexander Ralston and Elias Pym Fordham on a 1 square mile  2 6 km2  grid next to the White River  Completion of the National and Michigan roads and arrival of rail later solidified the city's position as a manufacturing and transportation hub [17] Two of the city's nicknames reflect its historical ties to transportation—the ""Crossroads of America"" and ""Railroad City"" [18][19][1] Since the 1970 city county consolidation  known as Unigov  local government administration operates under the direction of an elected 25 member city county council headed by the mayor "
17,17,18,Seattle, Washington,744955,608660,83.8 sq mi,47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ / 47.6205; -122.3509﻿ ,http://www.seattle.gov/,"
.mw-parser-output .nobold{font-weight:normal}ZIP codes[7][8]
98101–98119, 98121–98122, 98124–98127, 98129, 98131, 98133–98134, 98136, 98138–98139, 98141, 98144–98146, 98148, 98154–98155, 98158, 98160–98161, 98164–98166, 98168, 98170, 98174–98175, 98177–98178, 98181, 98185, 98188, 98190–98191, 98194–98195, 98198–98199
",Seattle   siˈætəl   listen  see AT əl  is a seaport city on the West Coast of the United States  It  is the seat of King County  Washington  With an estimated 744 955 residents as of 2018[update]  Seattle is the largest city in both the state of Washington and the Pacific Northwest region of North America  According to U S  Census data released in 2018  the Seattle metropolitan area's population stands at 3 94 million  and ranks as the 15th largest in the United States [10] In July 2013  it was the fastest growing major city in the United States[11] and remained in the top 5 in May 2015 with an annual growth rate of 2 1  [12] In July 2016  Seattle was again the fastest growing major U S  city  with a 3 1  annual growth rate [13] Seattle is the northernmost large city in the United States The city is situated on an isthmus between Puget Sound  an inlet of the Pacific Ocean  and Lake Washington  about 100 miles  160 km  south of the Canada–United States border  A major gateway for trade with Asia  Seattle is the fourth largest port in North America in terms of container handling as of 2015[update] [14]
18,18,19,Denver[i], Colorado,716492,600158,153.3 sq mi,39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ / 39.7619; -104.8811﻿ ,http://www.denvergov.org/,"80201–80212, 80214–80239, 80241, 80243–80244, 80246–80252, 80256–80266, 80271, 80273–80274, 80279–80281, 80290–80291, 80293–80295, 80299, 80012, 80014, 80022, 80033, 80123, 80127[16]",Denver   ˈdɛnvər    officially the City and County of Denver  is the capital and most populous municipality of the U S  state of Colorado  Denver is located in the South Platte River Valley on the western edge of the High Plains just east of the Front Range of the Rocky Mountains  The Denver downtown district is immediately east of the confluence of Cherry Creek with the South Platte River  approximately 12 mi  19 km  east of the foothills of the Rocky Mountains  Denver is named after James W  Denver  a governor of the Kansas Territory  and it is nicknamed the Mile High City because its official elevation is exactly one mile  5280 feet or 1609 3 meters  above sea level [17] The 105th meridian west of Greenwich  the longitudinal reference for the Mountain Time Zone  passes directly through Denver Union Station Denver is ranked as a Beta world city by the Globalization and World Cities Research Network  With an estimated population of 716 492 in 2018  Denver is the 19th most populous U S  city  and with a 17 41  increase since the 2010 United States Census  it has been one of the fastest growing major cities in the United States [18] The 10 county Denver Aurora Lakewood  CO Metropolitan Statistical Area had an estimated 2017 population of 2 888 227 and is the 19th most populous U S  metropolitan statistical area [19] The 12 city Denver Aurora  CO Combined Statistical Area had an estimated 2017 population of 3 515 374 and is the 15th most populous U S  metropolitan area [20] Denver is the most populous city of the 18 county Front Range Urban Corridor  an oblong urban region stretching across two states with an estimated 2017 population of 4 895 589 [21] Denver is the most populous city within a 500 mile  800 km  radius and the second most populous city in the Mountain West after Phoenix  Arizona  In 2016  Denver was named the best place to live in the United States by U S  News   World Report [22]
19,19,20,"Washington, D.C.[j]", District of Columbia,702455,601723,61.1 sq mi,38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ / 38.9041; -77.0172﻿ ,http://dc.gov/,"20001–20098, 20201–20599",Washington  D C   formally the District of Columbia and commonly referred to as Washington or D C   is the capital of the United States [4] Founded after the American Revolution as the seat of government of the newly independent country  Washington was named after George Washington  the first President of the United States and a Founding Father [5] As the seat of the United States federal government and several international organizations  Washington is an important world political capital [6] The city is also one of the most visited cities in the world  with more than 20 million tourists annually [7][8]The signing of the Residence Act on July 16  1790  approved the creation of a capital district located along the Potomac River on the country's East Coast  The U S  Constitution provided for a federal district under the exclusive jurisdiction of the U S  Congress  and the District is therefore not a part of any state  The states of Maryland and Virginia each donated land to form the federal district  which included the pre existing settlements of Georgetown and Alexandria  The City of Washington was founded in 1791 to serve as the new national capital  In 1846  Congress returned the land originally ceded by Virginia  in 1871  it created a single municipal government for the remaining portion of the District 
20,20,21,Boston, Massachusetts,694583,617594,48.3 sq mi,42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ / 42.3320; -71.0202﻿ ,https://www.boston.gov/,"
53 ZIP codes[7]
02108–02137, 02163, 02196, 02199, 02201, 02203, 02204, 02205, 02206, 02210, 02211, 02212, 02215, 02217, 02222, 02126, 02228, 02241, 02266, 02283, 02284, 02293, 02295, 02297, 02298, 02467 (also includes parts of Newton and Brookline)
",Boston is the capital and most populous city[8] of the Commonwealth of Massachusetts in the United States  The city proper covers 48 square miles  124 km2  with an estimated population of 694 583 in 2018 [3] making it also the most populous city in New England [2] Boston is the seat of Suffolk County as well  although the county government was disbanded on July 1  1999 [9] The city is the economic and cultural anchor of a substantially larger metropolitan area known as Greater Boston  a metropolitan statistical area  MSA  home to a census estimated 4 8 million people in 2016 and ranking as the tenth largest such area in the country [10] As a combined statistical area  CSA   this wider commuting region is home to some 8 2 million people  making it the sixth largest in the United States [11]Boston is one of the oldest cities in the United States  founded on the Shawmut Peninsula in 1630 by Puritan settlers from England [12][13] It was the scene of several key events of the American Revolution  such as the Boston Massacre  the Boston Tea Party  the Battle of Bunker Hill  and the Siege of Boston  Upon gaining U S  independence from Great Britain  it continued to be an important port and manufacturing hub as well as a center for education and culture [14][15] The city has expanded beyond the original peninsula through land reclamation and municipal annexation  Its rich history attracts many tourists  with Faneuil Hall alone drawing more than 20 million visitors per year [16] Boston's many firsts include the United States' first public park  Boston Common  1634   first public or state school  Boston Latin School  1635 [17] and first subway system  Tremont Street Subway  1897  [18]
21,21,22,El Paso, Texas,682669,649121,256.8 sq mi,31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ / 31.8484; -106.4270﻿ ,http://www.elpasotexas.gov,"79900-79999,88500-88599 (PO Boxes)","El Paso   ɛl ˈpæsoʊ   from Spanish  ""the pass""  is a city in and the county seat of El Paso County  Texas  United States  in the far western part of the state  The 2018 population estimate for the city from the U S  Census was 682 669 [6] Its metropolitan statistical area  MSA  covers all of El Paso and Hudspeth counties in Texas  and has a population of 840 758 [6]El Paso stands on the Rio Grande across the Mexico–United States border from Ciudad Juárez  the most populous city in the Mexican state of Chihuahua with 1 4 million people [7] Las Cruces  in the neighboring U S  state of New Mexico  has a population of 215 579 [8] On the U S  side  El Paso metropolitan area forms part of the larger El Paso–Las Cruces CSA  with a population of 1 060 397 [9]"
